aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
almendra	 1. f. Fruto del almendro. Es una drupa oblonga, con pericarpio formado por un epicarpio membranoso, un mesocarpio coriáceo y un endocarpio leñoso, o hueso, que contiene la semilla, envuelta en una película de color canela. 2. f. Este fruto, separado de las capas externa y media del pericarpio. 3. f. Semilla de este fruto. 4. f. Semilla de cualquier fruto drupáceo. 5. f. Pieza de cristal, metal o piedra preciosa en forma de almendra, y especialmente la de cristal tallado que se cuelga como adorno de lámparas, candelabros, etc. 6. f. fest. Piedra o guijarro pequeños. 7. f. Arq. Adorno de moldura en forma de almendra. ~ amarga. 1. f. La del almendro amargo, que es venenosa. ~ dulce. 1. f. La que es comestible, por contraposición a la amarga. ~ mollar. 1. f. La de cáscara fácil de quebrantar. de la media ~. 1. loc. adj. coloq. p. us. melindroso. Dama de la media almendra. 
almendrado	 1. adj. De forma de almendra. 2. m. Pasta hecha con almendras, harina y miel o azúcar. 3. f. Bebida compuesta de leche de almendras y azúcar. dar una ~ a alguien. 1. loc. verb. coloq. Decirle algo que le lisonjee. 
almendral	 1. m. Sitio poblado de almendros. 2. m. almendro. 
almendrar	 1. tr. Arq. Adornar con almendras. 
almendrate	 1. m. Especie de guisado compuesto con almendras, que se hacía antiguamente. 
almendrera	 1. f. almendro. florecer la ~. 1. loc. verb. coloq. desus. Encanecer prematuramente. 
almendrero	 1. m. almendro. 2. m. Plato, escudilla o vaso en que se sirven las almendras en la mesa. 
almendrilla	 1. f. Lima rematada en forma de almendra, que usan los cerrajeros. 2. f. Grava usada en albañilería, y especialmente en la reparación del firme de las carreteras. 3. f. ant. Especie de labor de aguja que imitaba almendras pequeñas. 4. f. pl. ant. Pendientes con diamantes de forma de almendra, que usaban las mujeres. 
almendro	 1. m. Árbol de la familia de las Rosáceas, de raíz profunda, tronco de siete a ocho metros de altura, madera dura, hojas oblongas y aserradas, flores blancas o rosadas, y cuyo fruto es la almendra. Florece muy temprano. Su corteza destila una goma parecida a la arábiga. ~ amargo. 1. m. El de almendra amarga. 
almendrolón	 1. m. Man. almendruco. 
almendrón	 1. m. Árbol de la familia de las Mirtáceas, originario de Jamaica, de fruto pequeño, ácido y comestible, con olor a almendra amarga. 2. m. Fruto de este árbol. 
almendruco	 1. m. Fruto del almendro, con el mesocarpio todavía verde; el endocarpio, blando, y la semilla a medio cuajarse. 
almenilla	 1. f. Adorno en forma de almena, en cenefas, guarniciones de trajes, etc. 
almeriense	 1. adj. Natural de Almería. U. t. c. s. 2. adj. Perteneciente o relativo a esta ciudad de España o a su provincia. 
almete	 1. m. Pieza de la armadura antigua, que cubría la cabeza. 2. m. Soldado que usaba almete. □ V. calva de almete 
almez	 1. m. Árbol de la familia de las Ulmáceas, de unos doce a catorce metros de altura, tronco derecho de corteza lisa y parda, copa ancha, hojas lanceoladas y dentadas de color verde oscuro, flores solitarias, y cuyo fruto es la almeza. 2. m. Madera de este árbol. 
almeza	 1. f. Fruto del almez. Es una drupa comestible redonda, como de un centímetro de diámetro, negra por fuera, amarilla por dentro y con el hueso también redondo. 
almezo	 1. m. almez. 
almiar	 1. m. Pajar al descubierto, con un palo largo en el centro, alrededor del cual se va apretando la mies, la paja o el heno. 2. m. Montón de paja o heno formado así para conservarlo todo el año. 
almiarar	 1. tr. Amontonar la paja para hacer el almiar. 
almibarado	 1. adj. empalagoso. 
almibarar	 1. tr. Bañar o cubrir con almíbar. 2. tr. Suavizar con arte y dulzura las palabras, normalmente para ganarse la voluntad de alguien y conseguir de él lo que se desea. 
almicantarat	 1. m. Cada uno de los círculos paralelos al horizonte que se suponen descritos en la esfera celeste, para determinar la altura o la depresión de los astros. Era u. t. c. f. 
almidón	 1. m. Hidrato de carbono que constituye la principal reserva energética de casi todos los vegetales. Tiene usos alimenticios e industriales. ~ animal. 1. m. glucógeno. □ V. agua de almidón 
almidonado	 1. adj. Planchado con almidón. 2. adj. coloq. Dicho de una persona: Compuesta o ataviada con excesiva pulcritud. 3. m. Acción y efecto de almidonar. 
almidonar	 1. tr. Mojar la ropa blanca en almidón desleído en agua, o cocido, para ponerla blanca y tiesa. 
almidonería	 1. f. Fábrica de almidón. 
almijar	 1. m. And. Lugar donde se ponen las uvas o las aceitunas para que se oreen antes de exprimirlas. 
almijara	 1. f. Depósito de aceite que había en las minas de Almadén, España, cuando la Hacienda cuidaba de facilitar el alumbrado a los operarios. 
almijarero	 1. m. Encargado de la almijara. 
almilla	 1. f. Especie de jubón, con mangas o sin ellas, ajustado al cuerpo. 2. f. Jubón cerrado, escotado y con solo medias mangas, que no llegaban al codo. Se ponía debajo de la armadura. 3. f. Carp. espiga (‖ de los maderos para ensamblarlos). 4. f. Carp. espiga (‖ clavo de madera). 5. f. desus. Tira ancha de carne sacada del pecho de los puercos en la matanza. 
almimbar	 1. m. Púlpito de las mezquitas. 
alminar	 1. m. Torre de las mezquitas, por lo común elevada y poco gruesa, desde cuya altura convoca el almuédano a los mahometanos en las horas de oración. 
almiquí	 1. m. Cuba. aire2. 
almiranta	 1. f. Nave que montaba el jefe de una armada, escuadra o flota. 2. f. coloq. p. us. Mujer del almirante. 
almirantazgo	 1. m. Alto tribunal o consejo de la Armada. 2. m. Juzgado particular del almirante. 3. m. Empleo o grado de almirante en todas sus categorías. 4. m. Conjunto de los almirantes de una marina. 5. m. Derecho que para los gastos de la Marina Real pagaban las embarcaciones mercantes que entraban en los puertos españoles. 6. m. Término o terreno comprendido en la jurisdicción del almirante. 7. m. Dignidad del almirante. 
almirante	 1. com. Oficial general de la Armada, del grado más elevado del almirantazgo. 2. m. Autoridad que en las cosas de mar tenía jurisdicción con mero mixto imperio y con mando absoluto sobre las armadas, navíos y galeras. 3. m. Autoridad que mandaba la armada, escuadra o flota después del capitán general. 4. m. Tocado femenino de grandes dimensiones usado en el siglo XVIII. 5. m. desus. Caudillo, capitán, noble con autoridad o señorío. ~ de Castilla. 1. m. El que ejercía efectivamente el almirantazgo hasta que el título pasó a ser honorífico y vinculado, como ocurrió también en Aragón. ~ de la mar, o ~ mayor de la mar. 1. m. almirante (‖ autoridad con mando absoluto sobre las armadas, navíos y galeras). 
almirantesa	 1. f. desus. almiranta (‖ mujer del almirante). 
almirez	 1. m. Mortero de metal, pequeño y portátil, que sirve para machacar o moler en él. 
almirón	 1. m. And. diente de león. 
almizate	 1. m. Punto central del harneruelo en los techos de maderas labradas. 2. m. harneruelo. 
almizclar	 1. tr. Aderezar o aromatizar con almizcle. 
almizcle	 1. m. Sustancia grasa, untuosa, de olor intenso que algunos mamíferos segregan en glándulas situadas en el prepucio, en el periné o cerca del ano, y, por ext., la que segregan ciertas aves en la glándula debajo de la cola. Por su untuosidad y aroma, el almizcle es materia base de ciertos preparados cosméticos y de perfumería. □ V. cabra de almizcle 
almizclero	 1. adj. almizcleño. 2. m. Mamífero artiodáctilo de la familia de los Cérvidos, del tamaño de una cabra, desprovisto de cuernos y con una bolsa glandular en el vientre, que contiene almizcle. Vive en las montañas de Asia central. 3. f. desmán2. □ V. ratón almizclero 
almizque	 1. m. desus. almizcle. 
almizquera	 1. f. desus. desmán2. 
almo	 1. adj. poét. Criador, alimentador, vivificador. Alma Ceres. 2. adj. poét. Excelente, benéfico, santo, digno de veneración. 
almocadén	 1. m. En la milicia antigua, caudillo o capitán de tropa de a pie. 2. m. En Marruecos, autoridad subalterna que en la ciudad viene a ser como alcalde de barrio; en las tribus del campo tiene a su cargo una de las fracciones en que cada una de ellas se divide, y en el Ejército es a modo de sargento. 
almocafre	 1. m. Instrumento que sirve para escardar y limpiar la tierra de malas hierbas, y para trasplantar plantas pequeñas. 
almocárabe	 1. m. Arq. y Carp. mocárabe. U. m. en pl. 
almocarbe	 1. m. Arq. y Carp. mocárabe. U. m. en pl. 
almocatracía	 1. f. Derecho o impuesto que se pagaba antiguamente por los tejidos de lana fabricados y vendidos en el reino. 
almocela	 1. f. Saco de lona o de arpillera que, relleno de paja u hojas de maíz, sirve de colchón a los jornaleros del campo. 
almocrebe	 1. m. p. us. Arriero de mulos. 
almodón	 1. m. Harina de trigo humedecido y después molido, de la cual, quitado solo el salvado grueso, se hacía pan. 
almodovareño	 1. adj. Natural de Almodóvar del Campo. U. t. c. s. 2. adj. Perteneciente o relativo a esta ciudad de la provincia de Ciudad Real, en España. 
almodrote	 1. m. Salsa compuesta de aceite, ajos, queso y otras cosas, con la cual se sazonan las berenjenas. 2. m. coloq. p. us. Mezcla confusa de varias cosas o especies. 
almofalla	 1. f. ant. Campamento o hueste acampada. 2. f. ant. Hueste o gente de guerra. 
almófar	 1. m. Parte de la armadura antigua, especie de cofia de malla, sobre la cual se ponía el capacete. 
almofariz	 1. m. desus. almirez. 
almofía	 1. f. jofaina. 
almofrej	 1. m. Funda, de jerga o vaqueta por fuera, y por dentro de anjeo u otro lienzo basto, en que se llevaba la cama de camino. 
almofrez	 1. m. Am. almofrej. 
almogama	 1. f. Mar. redel. 
almogávar	 1. m. En la milicia antigua, soldado de una tropa escogida y muy diestra en la guerra, que se empleaba en hacer entradas y correrías en las tierras de los enemigos. 2. m. Hombre del campo que, formando tropa, entraba a correr tierra de enemigos. 3. m. pl. Antiguas tropas de Cataluña y Aragón. 
almogavarear	 1. intr. Hacer correrías por tierras de enemigos. 
almogavería	 1. f. Tropa de almogávares. 2. f. Ejercicio de los almogávares. 
almohada	 1. f. Colchón pequeño que sirve para reclinar sobre él la cabeza en la cama. 2. f. almohadón (‖ colchón pequeño para sentarse, arrodillarse, recostarse, etc.). 3. f. Funda de tela en que se mete la almohada de la cama. 4. f. Arq. almohadilla (‖ de un sillar). 5. f. Mil. Trozo prismático de madera, que sirve de apoyo a alguna parte de la pieza o del afuste, principalmente a la cuña de puntería. aconsejarse, o consultar, con la ~. 1. locs. verbs. coloqs. Meditar con el tiempo necesario algún negocio, a fin de proceder en él con acierto. dar ~ la reina a una dama. 1. loc. verb. Darle posesión de la grandeza de España, haciéndola sentar ante ella en una almohada. tomar la ~ una dama. 1. loc. verb. Tomar posesión de la grandeza de España. 
almohadado	 1. adj. almohadillado (‖ que tiene almohadillas). 
almohadazo	 1. m. Golpe dado con una almohada. 
almohade	 1. adj. Se dice del seguidor de Aben Tumart, jefe musulmán que en el siglo XII fanatizó a las tribus occidentales de África y dio ocasión a que se fundase un nuevo imperio con ruina del de los almorávides. U. t. c. s. y m. en pl. 2. adj. Perteneciente o relativo a los almohades. 
almohadilla	 1. f. Cojín pequeño que hay en las guarniciones de las caballerías de tiro, y que se les pone sobre la cruz del lomo para no maltratarlas con ellas. 2. f. Cojín pequeño que se coloca sobre los asientos duros, como los de las plazas de toros, los campos de fútbol, etc., donde suele alquilarse. 3. f. acerico (‖ almohadilla para alfileres). 4. f. Cojín pequeño sobre el cual cosían las mujeres, y que solía estar unido a la tapa de una caja en que se guardaban los avíos de coser. 5. f. Anat. Masa de tejido con fibras y grasa que se encuentra en las puntas de las falanges o en la planta del pie de algunos animales, como el perro, el gato y el elefante, y los protege de golpes y roces. 6. f. Arq. Parte del sillar que sobresale de la obra, con las aristas achaflanadas o redondeadas. 7. f. Arq. Parte lateral de la voluta del capitel jónico. 8. f. Veter. Carnosidad que se les hace a las caballerías en los lados donde asienta la silla. 9. f. Bol. y Chile. agarrador (‖ para la plancha). 10. f. Bol., Chile, Col., Guat. y Nic. Cojín pequeño destinado a borrar lo escrito en las pizarras de las escuelas. 11. f. Cuba. compresa higiénica. 12. f. Hond. y Ven. tampón (‖ almohadilla empapada en tinta). cantar una mujer a la ~. 1. loc. verb. coloq. desus. Cantar sin instrumentos y solo para su distracción. 
almohadillado	 1. adj. Arq. Que tiene almohadillas. U. t. c. s. m. 2. m. Mar. Macizo de madera que se pone entre el casco de hierro y la coraza de los buques, con objeto de disminuir las vibraciones producidas por el choque de los proyectiles. 
almohadillar	 1. tr. acolchar (‖ poner algodón, lana, etc., entre dos telas). 2. tr. Arq. Labrar los sillares de modo que tengan almohadilla. 
almohadón	 1. m. Colchón pequeño a manera de almohada que sirve para sentarse, recostarse o apoyar los pies en él. 2. m. almohada (‖ funda de tela para meter la almohada de la cama). 3. m. Arq. salmer. 
almoharrefa	 1. f. desus. cinta (‖ hilera de baldosas). 
almohatre	 1. m. sal amoniacal. 
almohaza	 1. f. Instrumento, usado para limpiar las caballerías, que se compone de una chapa de hierro con cuatro o cinco serrezuelas de dientes menudos y romos, y de un mango de madera o un asa. 
almohazador	 1. m. Encargado de almohazar. 
almohazar	 1. tr. Estregar a las caballerías con la almohaza para limpiarlas. 2. tr. Estregar o fregar de otro modo. 3. tr. desus. Regalar, halagar los sentidos. 
almojábana	 1. f. Torta de queso y harina. 2. f. Especie de bollo, buñuelo o fruta de sartén, que se hace de masa con manteca, huevo y azúcar. 
almojama	 1. f. desus. mojama. 
almojarifadgo	 1. m. desus. almojarifazgo. 
almojarifalgo	 1. m. desus. almojarifazgo. 
almojarifazgo	 1. m. Derecho que se pagaba por los géneros o mercaderías que salían del reino, por los que se introducían en él, o por aquellos con que se comerciaba de un puerto a otro dentro de España. 2. m. Oficio y jurisdicción del almojarife. 
almojarife	 1. m. Oficial o ministro real que antiguamente cuidaba de recaudar las rentas y derechos del rey, y tenía en su poder el producto de ellos como tesorero. 2. m. Oficial encargado antiguamente de cobrar el almojarifazgo. 
almojatre	 1. m. almoháter. 
almojaya	 1. f. Madero cuadrado y fuerte que, asegurado en la pared, sirve para sostener andamios y para otros usos. 
almojerifazgo	 1. m. almojarifazgo. 
almojerife	 1. m. almojarife. 
almona	 1. f. And. jabonería. 2. f. Cád. Pesquería o sitio donde se pescan sábalos. 3. f. desus. Casa, fábrica o almacén público. 
almóndiga	 1. f. albóndiga. 
almondiguilla	 1. f. albondiguilla. 
almoneda	 1. f. Venta pública de bienes muebles con licitación y puja. 2. f. Venta de géneros que se anuncian a bajo precio. 3. f. Local donde se realiza esta venta. 
almonedar	 1. tr. almonedear. 
almonedear	 1. tr. Vender en almoneda. 
almora	 1. f. coloq. vulg. Ál. majano. 
almorabú	 1. m. Ter. almoraduj. 
almoraduj	 1. m. mejorana. 2. m. Entre jardineros, sándalo (‖ planta labiada). 
almoradux	 1. m. mejorana. 2. m. Entre jardineros, sándalo (‖ planta labiada). 
almorávide	 1. adj. Se dice del individuo de una tribu guerrera del Atlas, que fundó un vasto imperio en el occidente de África y llegó a dominar toda la España árabe desde 1093 hasta 1148. U. t. c. s. y m. en pl. 2. adj. Perteneciente o relativo a los almorávides. 
almorejo	 1. m. Planta de la familia de las Gramíneas, que crece en los campos cultivados. Tiene cañas de unos 40 cm, hojas con un nervio blanco longitudinal, vello en la entrada de la vaina y flores en espiga, algo separadas y cubiertas de pelos. 
